hash,malware_family,source
b137b67d9d570e4c1c8998a7ad2890e1f9c1376658b026fad61d9a79e288e8c1,GuLoader,smica83
b1e515e0e9d78bae0e3bf796c00627166a0be48cc6c70b0ea97c1f00cb35d682,AgentTesla,adrian__luca
b4055118d7dc797e7cc480742781e29ca410e52f3ad7c07cb06ec13cc50ca3fd,AgentTesla,adrian__luca
b45e6199e46ebce59b94cc7116b7525720da356e007c15c7f79f9d3c7b0dd853,RedLineStealer,fabiodemartin
b46c2cb0bca50540123bbde92aa6f434b0d587a7de93916dd5a03682563b1141,AgentTesla,adrian__luca
b502d6aeae2553ba6863369b999bcada53ae711fa436f1166027922c10631e46,AgentTesla,adrian__luca
b7f82a61221f1ec4dc8d84b7800e3fa5228392ebd23908b147d74ce3f79d350e,Adware.PushWare,NIXLovesCooper
bbf5558aa9ad5838472cc8e6ad284ec23dd86e29015861bec3cd41a6f7e390f5,AgentTesla,adrian__luca
bc977de2c812009947e6ae3fbcda2e1770b9b94789c2b486187c7a8af6d2f3ce,all_7_families,malware_traffic
bd442895a10c0b01daa543174c33d31ed05b905af2c6f5ab56c709893b1eed34,Heodo,SecuriteInfoCom
bfcc16e302514e80fdc77675291f1bdb32796e7b77274f7596049938d0652347,Loki,abuse_ch
bff22c83a53c9520a898473d80cc9125e2c222846c72e4b352409b7b0ef50eba,Gozi,JAMESWT_WT
c0b99a4d83d20539cbcb64a75cf4195277d63ef20113a3d3d5a1affe9db263e3,AgentTesla,adrian__luca
c0de9777e20295b2bd83ebfbcb301de221b30ce723e0bae4c3cc013a232e5cc7,Vidar,iamaachum
c172b89c46644dca743c3fd8660173240cfdd92f361eef3cf3c43d84b6bd6403,AgentTesla,adrian__luca
c19c0cceb7624b88bf118c651df9bd325d6e16e641dc94a2c4910e97665d3bde,AgentTesla,adrian__luca
c58751df2384d3667a1176c893888b976c2e2f97f3e702ecb322dbc31461aaa4,RedLineStealer,NIXLovesCooper
c683f9ff4acbc933d14210f87ee5ae4e393a4f65053a6655155a38ee891006aa,AgentTesla,cocaman
c6d2842609ff7389bb35237b8d80194f03d0cc53107644b23beb356638ad27b6,all_7_families,JAMESWT_WT
cbd4c6e8392f9fabb91d286ea1364aabe65ac86ffc177d2fd6a7990c971a9011,Expiro,cocaman
cd4ce50d0ab9455bec3ce38f27c9dcc10d90aa185d85ab84e3e122bf0c02cb15,AgentTesla,adrian__luca
cdc057b7c772e3ac5f6074b374c0c7fd7903ca5aa3fa19e45ef9c4921e11c89c,Emotet,jstrosch
cee52cea1d85083b781607bbe9752269f9336e23cd58a37f3f588fbfab9256a8,TrickBot,SecuriteInfoCom
d0f5b9d6db0482d92ec833a86453691ac61301dd66e03d3bcf304c72e4d9bb9e,WikiLoader,JAMESWT_WT
d120c25f77b8dfe9182aa2ac5ce44b8ca76ab77e12b65f98620069c07cbf8ccd,Emotet,obfusor
d159b0f366b83953973b69725a84e0f79d1efb97d712dbba7217b70fc73746d7,AgentTesla,cocaman
d1a785afd164bb2c5d932ada9920879984a7cc2b26ed8512828fda39b26dd2d1,SilentBuilder,pr0xylife
d1c785d069cf507148512559a5c7bff59e64069ce24846b4c3e27ccdb226eb6c,AgentTesla,adrian__luca
d2582eb0e62eb74cd2e9a4b0658d54a3b71c08e3f844b47e53ad1912623f4eb4,DBatLoader,1234567890
d25a928416c3614b40c4c57447023f53fa5cc4d4bd5dee5fc68a7e8cbc52d7cb,SilentBuilder,ffforward
d418e24f1da80e970160a4192050392dbf3e50a89458f46dbbd753423ebdbbde,TrickBot,zbetcheckin
d49c2e47c8e14cc01f0a362293c613ea9604e532ff77b879d69895473dfbeb03,WikiLoader,k3dg3
