hash,family,source,status,detection_ratio,first_seen,last_seen,processes_count,files_written_count,files_deleted_count,registry_keys_set_count,dns_lookups_count,ip_connections_count,http_requests_count,mutexes_count,mitre_techniques_count,mitre_techniques,collected_date
417ea7dfbd978d363746278088a7f3ed22d864d381ebdc6a7403b5003230e9da,AgentTesla,adrian__luca,success,56/76,1758203898,1760680897,0,0,0,0,0,0,0,0,0,,2025-11-04T03:57:26.742538+00:00
2586d4d0fb6798a84320492847b839815b787970c9f279acf1d1436780c40a3a,TrickBot,anonymous,success,51/72,1639672978,1705790857,0,0,0,0,0,0,0,0,0,,2025-11-04T03:57:59.481605+00:00
ef503d5f5a41649720ea8bd5ed226aff3927ecd4c8fd80666ac2fda9d1c2e6cf,Heodo,byMattii1234,success,64/76,1600511339,1755878791,0,0,0,0,0,0,0,0,0,,2025-11-04T03:58:32.680796+00:00
c6d2842609ff7389bb35237b8d80194f03d0cc53107644b23beb356638ad27b6,all_7_families,JAMESWT_WT,success,54/76,1697316717,1756073036,0,0,0,0,0,0,0,0,0,,2025-11-04T03:59:05.156546+00:00
396e6e07928abd8a61b6cca0fd3b7cd09cf303c3211ec1333fc820159de8c42c,Emotet,jstrosch,success,1/76,1244133587,1759032073,0,0,0,0,0,0,0,0,0,,2025-11-04T03:59:38.003888+00:00
9e3c70168c1f03c901fe44186b0be98af8f804b47cce40f81e9eda2e48df0acb,Adware.PushWare,NIXLovesCooper,success,21/76,1701497308,1756416085,0,0,0,0,0,0,0,0,0,,2025-11-04T04:00:10.440203+00:00
58d4bc9689c2a09045653e7437363523b4e67221088ee7a0d46b0a7c918c2077,RedLineStealer,JAMESWT_WT,success,45/76,1758536183,1760853745,0,0,0,0,0,0,0,0,0,,2025-11-04T04:00:46.563518+00:00
f7ec2c9703f551dda92a7c043b302c5bab26a4f91683f94cdfe789b54b5a9437,AgentTesla,pr0xylife,success,62/76,1628397066,1761806247,0,0,0,0,0,0,0,0,0,,2025-11-04T04:01:19.342819+00:00
d418e24f1da80e970160a4192050392dbf3e50a89458f46dbbd753423ebdbbde,TrickBot,zbetcheckin,success,52/75,1635833135,1690311041,0,0,0,0,0,0,0,0,0,,2025-11-04T04:01:53.185467+00:00
080672b68abf1f03ace8f820214e8fe1efd2b9d84e03f79658b0351e78c8aa1c,Heodo,TeamDreier,success,41/76,1678937378,1756332975,0,0,0,0,0,0,0,0,0,,2025-11-04T04:02:25.916025+00:00
ed493db03ed0a43ee059026fadbfccb26cde4b3d71610073e09adcaa173a6c1f,all_7_families,malware_traffic,success,42/76,1631543428,1755274107,0,0,0,0,0,0,0,0,0,,2025-11-04T04:02:58.536429+00:00
cdc057b7c772e3ac5f6074b374c0c7fd7903ca5aa3fa19e45ef9c4921e11c89c,Emotet,jstrosch,success,62/77,1669881312,1742409382,0,0,0,0,0,0,0,0,0,,2025-11-04T04:03:31.587447+00:00
9b511e0198dec0c5ad53e512c13a88408effb455a8c1b857ee63436408f8e24a,Adware.PushWare,NIXLovesCooper,success,25/76,1701497211,1757318493,0,0,0,0,0,0,0,0,0,,2025-11-04T04:04:04.154662+00:00
7553c451f8bc7159aaf5afcc364090428f512068a0b68701ffc31e8e11c31502,TrickBot,cocaman,success,29/81,1670667565,1740201047,0,0,0,0,0,0,0,0,0,,2025-11-04T04:04:37.110554+00:00
1abd799ba4bfee25737243568ae048c0b50f1892b41d7e0f7b3c3af8410babde,Heodo,JAMESWT_WT,success,29/76,1687934730,1760607085,0,0,0,0,0,0,0,0,0,,2025-11-04T04:05:09.522034+00:00
7d82104c8f7ee68dcc8d14cccd87f5414e8de08f252f4667482a75edda76926a,all_7_families,malware_traffic,success,42/76,1631562415,1754638979,0,0,0,0,0,0,0,0,0,,2025-11-04T04:05:42.208613+00:00
3b63193b80192cb258d434e8e9ad61f221c25c6603a6c92fc6ccee5c18f7dfd7,Emotet,anonymous,success,64/76,1606741393,1749205356,0,0,0,0,0,0,0,0,0,,2025-11-04T04:06:14.916115+00:00
